sales,date
600000,Jan-20
500000,Jan-20
400000,Jan-20
382500,Jan-20
540000,Jan-20
500000,Jan-20
625000,Jan-20
450000,Jan-20
380000,Jan-20
371250,Jan-20
540000,Jan-20
500000,Jan-20
610000,Jan-20
462500,Jan-20
380000,Jan-20
360000,Jan-20
510000,Jan-20
475000,Jan-20
600000,Jan-20
450000,Feb-20
360000,Feb-20
371250,Feb-20
495000,Feb-20
475000,Feb-20
732000,Feb-20
508750,Feb-20
450000,Feb-20
425000,Feb-20
525000,Feb-20
650000,Mar-20
750000,Mar-20
550000,Mar-20
462500,Mar-20
450000,Mar-20
540000,Mar-20
682500,Mar-20
765000,Mar-20
563750,Mar-20
475000,Mar-20
450000,Mar-20
555000,Mar-20
715000,Mar-20
750000,Mar-20
563750,Mar-20
475000,Mar-20
462500,Mar-20
540000,Apr-20
698750,Apr-20
720000,Apr-20
550000,Apr-20
462500,Apr-20
450000,Apr-20
540000,Apr-20
650000,Apr-20
568750,Apr-20
700000,Apr-20
747500,Apr-20
536250,Apr-20
506000,Apr-20
495000,Apr-20
568750,May-20
682500,May-20
780000,May-20
550000,May-20
522500,May-20
495000,May-20
585000,May-20
700000,Jun-20
225000,Jun-20
315000,Jun-20
245000,Jul-20
245000,Jul-20
220000,Jul-20
245000,Jul-20
212500,Jul-20
297500,Jul-20
236250,Jul-20
218750,Jul-20
200000,Jul-20
245000,Jul-20
262500,Jul-20
350000,Aug-20
245000,Aug-20
240000,Aug-20
225000,Aug-20
260000,Aug-20
270000,Aug-20
360000,Aug-20
253750,Aug-20
250000,Aug-20
236250,Aug-20
320000,Aug-20
277500,Aug-20
370000,Aug-20
271250,Aug-20
280000,Aug-20
270000,Aug-20
380000,Aug-20
380000,Aug-20
427500,Aug-20
320000,Aug-20
300000,Aug-20
292500,Aug-20
500000,Aug-20
380000,Aug-20
427500,Aug-20
440000,Aug-20
280000,Aug-20
315000,Aug-20
487500,Aug-20
370000,Aug-20
416250,Aug-20
440000,Sep-20
260000,Sep-20
292500,Sep-20
450000,Sep-20
382500,Sep-20
382500,Sep-20
450000,Sep-20
312500,Sep-20
281250,Sep-20
467500,Sep-20
360000,Sep-20
360000,Sep-20
375000,Sep-20
300000,Sep-20
258750,Sep-20
412500,Sep-20
405000,Oct-20
405000,Oct-20
412500,Oct-20
337500,Oct-20
292500,Oct-20
467500,Oct-20
427500,Oct-20
427500,Oct-20
425000,Oct-20
350000,Oct-20
292500,Oct-20
495000,Oct-20
310000,Nov-20
387500,Nov-20
387500,Nov-20
312500,Nov-20
316250,Nov-20
387500,Nov-20
330000,Nov-20
362500,Nov-20
362500,Nov-20
287500,Nov-20
275000,Nov-20
350000,Nov-20
425000,Nov-20
420000,Nov-20
420000,Nov-20
360000,Dec-20
325000,Dec-20
420000,Dec-20
525000,Dec-20
438750,Dec-20
471250,Dec-20
375000,Dec-20
341250,Dec-20
560000,Dec-20
540000,Dec-20
487500,Jan-21
487500,Jan-21
390000,Jan-21
357500,Jan-21
580000,Jan-21
585000,Jan-21
536250,Jan-21
536250,Jan-21
420000,Jan-21
373750,Jan-21
700000,Jan-21
615000,Jan-21
568750,Jan-21
536250,Jan-21
435000,Jan-21
503750,Jan-21
620000,Jan-21
633750,Jan-21
647500,Jan-21
520000,Jan-21
487500,Jan-21
562500,Jan-21
580000,Jan-21
508750,Jan-21
555000,Jan-21
426250,Jan-21
398750,Jan-21
471250,Jan-21
542500,Jan-21
481250,Jan-21
525000,Jan-21
385000,Feb-21
371250,Feb-21
422500,Feb-21
490000,Feb-21
481250,Feb-21
525000,Feb-21
398750,Feb-21
385000,Feb-21
422500,Feb-21
542500,Feb-21
536250,Feb-21
585000,Feb-21
426250,Feb-21
426250,Feb-21
455000,Feb-21
560000,Feb-21
245000,Feb-21
315000,Feb-21
315000,Mar-21
247500,Mar-21
250000,Mar-21
315000,Mar-21
262500,Mar-21
292500,Mar-21
303750,Mar-21
236250,Mar-21
225000,Mar-21
292500,Mar-21
280000,Mar-21
292500,Mar-21
292500,Mar-21
247500,Mar-21
212500,Mar-21
281250,Apr-21
360000,Apr-21
300000,Apr-21
312500,Apr-21
236250,Apr-21
212500,Apr-21
390000,Apr-21
360000,Apr-21
325000,Apr-21
325000,Apr-21
247500,Apr-21
225000,Apr-21
406250,Apr-21
405000,Apr-21
375000,Apr-21
375000,Apr-21
281250,Apr-21
250000,Apr-21
520000,Apr-21
427500,Apr-21
400000,Apr-21
375000,Apr-21
292500,Apr-21
350000,Apr-21
455000,Apr-21
450000,May-21
467500,May-21
362500,May-21
337500,May-21
405000,May-21
422500,May-21
425000,May-21
467500,May-21
350000,May-21
325000,May-21
390000,May-21
455000,May-21
400000,May-21
440000,May-21
325000,May-21
312500,May-21
360000,May-21
422500,May-21
412500,May-21
453750,May-21
337500,May-21
325000,May-21
360000,May-21
455000,May-21
450000,May-21
495000,May-21
350000,May-21
350000,May-21
375000,May-21
471250,May-21
213750,May-21
123750,Jun-21
96250,Jun-21
50000,Jun-21
96250,Jun-21
123750,Jun-21
236250,Jun-21
78750,Jun-21
78750,Jun-21
40000,Jun-21
96250,Jun-21
123750,Jun-21
247500,Jun-21
100000,Jun-21
90000,Jun-21
33750,Jun-21
75000,Jun-21
112500,Jun-21
225000,Jun-21
75000,Jun-21
60000,Jun-21
33750,Jun-21
60000,Jun-21
112500,Jun-21
297000,Jun-21
110000,Jun-21
87500,Jun-21
50000,Jun-21
75000,Jun-21
162500,Jun-21
250000,Jun-21
112500,Jul-21
80000,Jul-21
70000,Jul-21
87500,Jul-21
192500,Jul-21
287500,Jul-21
146250,Jul-21
100000,Jul-21
80000,Jul-21
112500,Jul-21
220000,Jul-21
275000,Jul-21
146250,Jul-21
100000,Jul-21
90000,Jul-21
100000,Jul-21
206250,Jul-21
250000,Jul-21
135000,Jul-21
80000,Jul-21
70000,Jul-21
87500,Jul-21
137500,Jul-21
255000,Jul-21
125000,Jul-21
75000,Jul-21
62500,Jul-21
75000,Jul-21
162500,Jul-21
240000,Jul-21
125000,Jul-21
