Region,Operating Profit,Year,State
Northeast,300000,2020,New York
Northeast,150000,2020,New York
Northeast,140000,2020,New York
Northeast,133875,2020,New York
Northeast,162000,2020,New York
Northeast,125000,2020,New York
Northeast,312500,2020,New York
Northeast,135000,2020,New York
Northeast,133000,2020,New York
Northeast,129937.5,2020,New York
Northeast,162000,2020,New York
Northeast,125000,2020,New York
Northeast,305000,2020,New York
Northeast,138750,2020,New York
Northeast,133000,2020,New York
Northeast,126000,2020,New York
Northeast,153000,2020,New York
Northeast,118750,2020,New York
Northeast,300000,2020,New York
Northeast,135000,2020,New York
Northeast,126000,2020,New York
Northeast,129937.5,2020,New York
Northeast,148500,2020,New York
Northeast,118750,2020,New York
Northeast,366000,2020,New York
Northeast,152625,2020,New York
Northeast,157500,2020,New York
Northeast,148750,2020,New York
Northeast,157500,2020,New York
Northeast,162500,2020,New York
Northeast,375000,2020,New York
Northeast,165000,2020,New York
Northeast,161875,2020,New York
Northeast,157500,2020,New York
Northeast,162000,2020,New York
Northeast,170625,2020,New York
Northeast,382500,2020,New York
Northeast,169125,2020,New York
Northeast,166250,2020,New York
Northeast,157500,2020,New York
Northeast,166500,2020,New York
Northeast,178750,2020,New York
Northeast,375000,2020,New York
Northeast,169125,2020,New York
Northeast,166250,2020,New York
Northeast,161875,2020,New York
Northeast,162000,2020,New York
Northeast,174687.5,2020,New York
Northeast,360000,2020,New York
Northeast,165000,2020,New York
Northeast,161875,2020,New York
Northeast,157500,2020,New York
Northeast,162000,2020,New York
Northeast,162500,2020,New York
Northeast,170625,2020,New York
Northeast,175000,2020,New York
Northeast,373750,2020,New York
Northeast,160875,2020,New York
Northeast,177100,2020,New York
Northeast,173250,2020,New York
Northeast,170625,2020,New York
Northeast,170625,2020,New York
Northeast,390000,2020,New York
Northeast,165000,2020,New York
Northeast,182875,2020,New York
Northeast,173250,2020,New York
Northeast,175500,2020,New York
Northeast,175000,2020,New York
Northeast,78750,2020,New York
Northeast,110250,2020,New York
Northeast,85750,2020,New York
Northeast,110250,2020,New York
South,66000,2020,Texas
South,122500,2020,Texas
South,74375,2020,Texas
South,104125,2020,Texas
South,82687.5,2020,Texas
South,98437.5,2020,Texas
South,60000,2020,Texas
South,122500,2020,Texas
South,91875,2020,Texas
South,122500,2020,Texas
South,85750,2020,Texas
South,108000,2020,Texas
South,67500,2020,Texas
South,130000,2020,Texas
South,94500,2020,Texas
South,126000,2020,Texas
South,88812.5,2020,Texas
