Region,Operating Profit,Year
Northeast,300000,2020
Northeast,150000,2020
Northeast,140000,2020
Northeast,133875,2020
Northeast,162000,2020
Northeast,125000,2020
Northeast,312500,2020
Northeast,135000,2020
Northeast,133000,2020
Northeast,129937.5,2020
Northeast,162000,2020
Northeast,125000,2020
Northeast,305000,2020
Northeast,138750,2020
Northeast,133000,2020
Northeast,126000,2020
Northeast,153000,2020
Northeast,118750,2020
Northeast,300000,2020
Northeast,135000,2020
Northeast,126000,2020
Northeast,129937.5,2020
Northeast,148500,2020
Northeast,118750,2020
Northeast,366000,2020
Northeast,152625,2020
Northeast,157500,2020
Northeast,148750,2020
Northeast,157500,2020
Northeast,162500,2020
Northeast,375000,2020
Northeast,165000,2020
Northeast,161875,2020
Northeast,157500,2020
Northeast,162000,2020
Northeast,170625,2020
Northeast,382500,2020
Northeast,169125,2020
Northeast,166250,2020
Northeast,157500,2020
Northeast,166500,2020
Northeast,178750,2020
Northeast,375000,2020
Northeast,169125,2020
Northeast,166250,2020
Northeast,161875,2020
Northeast,162000,2020
Northeast,174687.5,2020
Northeast,360000,2020
Northeast,165000,2020
Northeast,161875,2020
Northeast,157500,2020
Northeast,162000,2020
Northeast,162500,2020
Northeast,170625,2020
Northeast,175000,2020
Northeast,373750,2020
Northeast,160875,2020
Northeast,177100,2020
Northeast,173250,2020
Northeast,170625,2020
Northeast,170625,2020
Northeast,390000,2020
Northeast,165000,2020
Northeast,182875,2020
Northeast,173250,2020
Northeast,175500,2020
Northeast,175000,2020
Northeast,78750,2020
Northeast,110250,2020
Northeast,85750,2020
Northeast,110250,2020
South,66000,2020
South,122500,2020
South,74375,2020
South,104125,2020
South,82687.5,2020
South,98437.5,2020
South,60000,2020
South,122500,2020
South,91875,2020
South,122500,2020
South,85750,2020
South,108000,2020
South,67500,2020
South,130000,2020
South,94500,2020
South,126000,2020
South,88812.5,2020
South,112500,2020
South,70875,2020
South,160000,2020
South,97125,2020
South,129500,2020
South,94937.5,2020
South,126000,2020
South,81000,2020
South,190000,2020
South,133000,2020
South,149625,2020
South,112000,2020
South,135000,2020
South,87750,2020
South,250000,2020
South,133000,2020
South,149625,2020
South,154000,2020
South,126000,2020
South,94500,2020
South,243750,2020
South,129500,2020
South,145687.5,2020
South,154000,2020
South,117000,2020
South,87750,2020
South,225000,2020
South,133875,2020
South,133875,2020
South,157500,2020
South,140625,2020
South,84375,2020
South,233750,2020
South,126000,2020
South,126000,2020
South,131250,2020
South,135000,2020
South,77625,2020
South,206250,2020
South,141750,2020
South,141750,2020
South,144375,2020
South,151875,2020
South,87750,2020
South,233750,2020
South,149625,2020
South,149625,2020
South,148750,2020
South,157500,2020
South,87750,2020
South,247500,2020
South,108500,2020
South,77500,2020
South,135625,2020
South,93750,2020
West,158125,2020
West,58125,2020
West,115500,2020
West,72500,2020
West,126875,2020
West,86250,2020
West,137500,2020
West,52500,2020
West,148750,2020
West,84000,2020
West,147000,2020
West,108000,2020
West,162500,2020
West,63000,2020
West,183750,2020
West,87750,2020
West,164937.5,2020
West,112500,2020
West,170625,2020
West,84000,2020
West,216000,2020
West,121875,2021
West,195000,2021
West,136500,2021
West,196625,2021
West,116000,2021
West,234000,2021
West,134062.5,2021
West,214500,2021
West,147000,2021
West,205562.5,2021
West,140000,2021
West,215250,2021
West,113750,2021
West,187687.5,2021
West,130500,2021
West,251875,2021
West,93000,2021
West,221812.5,2021
West,129500,2021
West,182000,2021
West,146250,2021
West,281250,2021
West,87000,2021
West,152625,2021
West,83250,2021
West,127875,2021
West,99687.5,2021
West,212062.5,2021
West,54250,2021
West,144375,2021
West,78750,2021
West,115500,2021
West,92812.5,2021
West,190125,2021
West,49000,2021
West,144375,2021
West,78750,2021
West,119625,2021
West,96250,2021
West,190125,2021
West,54250,2021
West,160875,2021
West,87750,2021
West,127875,2021
West,106562.5,2021
West,204750,2021
West,56000,2021
West,98000,2021
West,78750,2021
West,126000,2021
West,86625,2021
West,137500,2021
West,63000,2021
West,105000,2021
West,73125,2021
West,121500,2021
West,82687.5,2021
West,123750,2021
West,58500,2021
West,112000,2021
West,73125,2021
West,117000,2021
West,86625,2021
West,116875,2021
West,56250,2021
West,144000,2021
West,75000,2021
West,125000,2021
West,82687.5,2021
West,116875,2021
West,78000,2021
West,144000,2021
West,81250,2021
West,130000,2021
West,86625,2021
West,123750,2021
West,81250,2021
West,162000,2021
West,93750,2021
West,150000,2021
West,98437.5,2021
West,137500,2021
West,104000,2021
West,171000,2021
West,100000,2021
West,150000,2021
West,102375,2021
West,192500,2021
West,91000,2021
West,180000,2021
West,116875,2021
West,145000,2021
West,118125,2021
West,222750,2021
West,84500,2021
West,170000,2021
West,116875,2021
West,140000,2021
West,113750,2021
West,214500,2021
West,91000,2021
West,160000,2021
West,110000,2021
West,130000,2021
West,109375,2021
West,198000,2021
West,84500,2021
West,165000,2021
West,113437.5,2021
West,135000,2021
West,113750,2021
West,198000,2021
West,91000,2021
West,180000,2021
West,123750,2021
West,140000,2021
West,122500,2021
West,206250,2021
West,94250,2021
West,85500,2021
West,43312.5,2021
West,33687.5,2021
West,20000,2021
Midwest,33687.5,2021
Midwest,61875,2021
Midwest,94500,2021
Midwest,27562.5,2021
Midwest,27562.5,2021
Midwest,16000,2021
Midwest,33687.5,2021
Midwest,61875,2021
Midwest,99000,2021
Midwest,35000,2021
Midwest,31500,2021
Midwest,13500,2021
Midwest,26250,2021
Midwest,56250,2021
Midwest,90000,2021
Midwest,26250,2021
Midwest,21000,2021
Midwest,13500,2021
Midwest,21000,2021
Midwest,56250,2021
Midwest,118800,2021
Midwest,38500,2021
Midwest,30625,2021
Midwest,20000,2021
Midwest,26250,2021
Midwest,81250,2021
Midwest,100000,2021
Midwest,39375,2021
Midwest,28000,2021
Midwest,28000,2021
Midwest,30625,2021
Midwest,96250,2021
Midwest,115000,2021
Midwest,51187.5,2021
Midwest,35000,2021
Midwest,32000,2021
Midwest,39375,2021
Midwest,110000,2021
Midwest,110000,2021
Midwest,51187.5,2021
Midwest,35000,2021
Midwest,36000,2021
Midwest,35000,2021
Midwest,103125,2021
Midwest,100000,2021
Midwest,47250,2021
Midwest,28000,2021
Midwest,28000,2021
Midwest,30625,2021
Midwest,68750,2021
Midwest,102000,2021
Midwest,43750,2021
Midwest,26250,2021
Midwest,25000,2021
Midwest,26250,2021
Midwest,81250,2021
Midwest,96000,2021
